input_corrector,output_corrector,tag,explanation
"Porque nós non nos damos conta de todo o diñeiro que gastan; a comida para toda a familia, a luz da casa, o auga da casa, o seguro do coche, o seguro da casa,... En conclusión, para min estamos demasiado mimados a veces e escedemos en gastos.","Porque nós non nos damos conta de todo o diñeiro que gastamos; a comida para toda a familia, a luz da casa, o auga da casa, o seguro do coche, o seguro da casa,... En conclusión, para min estamos demasiado mimadas ás veces e excedémonos en gastos.",0,O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “gastan” e “a comida” e tamén corrixiu o erro de plural entre “mimados” e “excedemos”.
"Os fillos non podemos gastarnos todo o diñeiro en caprichos, xoguetes (e cando empezan a fumar, todo o diñeiro que se gasta en tabaco), temos que gastar o xusto e o necesario, de vez en cando algunha roupa, algún xoguete ou algún videoxogo, pero é iso, de vez en cando, non todos os días porque senón acaban arruinados.","Os fillos non podemos gastármonos todo o diñeiro en caprichos, xoguetes (e cando comezan a fumar, todo o diñeiro que se gasta en tabaco), temos que gastalo con tino e coidado, de vez en cando algunha roupa, algún xoguete ou algún videoxogo, pero é iso, de vez en cando, non todos os días porque senón acaban arruinados.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a falta de acentuación en palabras como “gastármonos” e “coidado”."
"Moitos hemos pasado por esta fase, o cal non quere dicir que esté ben.","Moitoes pasamos por esa fase, o cal non significa que estea ben.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Pero é unha etapa na que as hormonas nos controlan ao 200 %; sentímonos incomprendidos, e pensamos, relacionado co que antes cité; que coma os nosos pais son ""de outra época"" ou que ""as cousas han cambiado"" non nos comprenden.","Pero é unha etapa na que as hormonas nos controlan ao 100 % ; sentímonos incomprendidos, e pensamos, relacionado co que antes citei; que como os nosos pais son «de outra época» ou que «as cousas cambiaron», non nos comprenden.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector, cambiando ""200 %"" por ""100 %"", e tamén corrixiu a falta de acentos nos apóstrofos."
"O malo é que a cuestión sigue sendo que isto non cambia, que queremos todo o que os demais teñen sen pararse a pensar en que é o que realmente se quere e gusta.","O malo é que a cuestión segue sendo que isto non cambia, que queremos todo o que os demais teñen sen pararnos a pensar en que é o que realmente se quere e gusta.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Por outro lado cabe destacar que o que critica a autora sobre que a infancia soñe con ser futbolista ou modelo, non ten ningún punto de vista negativo, xa que todo o mundo e libre de e querer ser canto quera.","Por outro lado cabe destacar que o que crítica a autora sobre que a infancia sóne con ser futbolista ou modelo, non ten ningún punto de vista negativo, xa que todo o mundo é libre de e querer ser canto queira.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “cabe” e “o que crítica”, e tamén corrixiu a falta de concordancia entre o suxeito e o verbo.”"
"Os conflitos entre pais e fillos son algo habitual xa que que queren mostrar as súas opinións, pero sempre mantendo as formas e a educación.","Os conflitos entre pais e fillos son algo habitual xa que queren mostrar as súas opinións, pero sempre mantendo as formas e a educación.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Por outro lado, tamén penso que nesta situación os pais de Vanesa non están pasando por un bo momento, e o pai neste caso, estao a pagar ca súa filla, como moitas veces pasa nas familias, que os fillos sen ter culpa, as pagan igualmente.","Por outro lado, tamén penso que nesta situación os pais de Vanessa non están pasando por un bo momento, e o pai neste caso, estao a pagar coa súa filla, coma moitas veces pasa nas familias, que os fillos sen ter culpa, as pagan igualmente.",0,"O output_corrector é adecuado porque corrixiu os erros de ortografía e gramática do input_corrector, como a falta de acento en ""Vanesa"" e a corrección de ""estao"" a ""estão"" e ""coma"" a ""coa""."
"Eu, como experiencia, podo contar que conocin unha rapaza que ca misma idade ca min, estaba tola da cabeza, quero dicir, a rapaza estaba tan desesperada porque súa nai a deixara en paz, que como os pais estaban divorciados, marchou co seu pai, e ainda por encima, denunciou a nai, polo que, cada vez penso que hai máis conflitos familiares.","Eu, como experiencia, podo contar que coñecín unha rapaza que coa mesma idade ca min, estaba tola da cabeza, quero dicir, a rapaza estaba tan desesperada porque a súa nai a deixaba en paz, que como os pais estaban divorciados, marchou co seu pai, e aínda por riba, denunciou á nai, polo que, cada vez penso que hai máis conflitos familiares.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a falta de acentuación en palabras como “coñecín” e “súa”."
"En definitiva, debemos saber tratar os adolescentes porque están nunha fase de cambio e as veces non son eles propiamente pero débese diferenciar o que se pode permitir e o que non e dónde se deben poñer unhas normas.","En definitiva, debemos saber tratar os adolescentes porque están nunha fase de cambio e ás veces non son eles propiamente senón que hai que diferenciarse do que se pode permitir e do que non é onde se deben pór unhas normas.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a colocación incorrecta de ""senón que"" e ""dónde"". Tamén se corrixiron os erros de concordancia entre ""se deben"" e ""unhas normas"". O resultado é unha oración clara e gramaticalmente correcta."
"Primeiramente, non é xusto valorar o estado da sociedade tendo en conta o que as persoas soñan na súa infancia.","Primeiro, non é xusto valorar o estado da sociedade tendo en conta o que as persoas soñan na súa infancia.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector, cambiando a forma de expresar a idea de prioridade."
A autora deste fragmento critica que a mocidade e a infancia soña con ser futbolista ou modelo maioritariamente e penso que ten toda a razón do mundo.,A autora deste fragmento crítica que a mocidade e a infancia soñan con ser futbolista ou modelo maioritariamente e penso que ten toda a razón do mundo.,0,O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “critica” e “soña” e entre “mocidade” e “infancia”.
"Ademáis da influencia que ten unha modelo ou un futbolista nos nenos, dando a entender que un corpo perfecto, e moitas veces, extremadamente delgado e pouco saudable, é o camiño cara o éxito e a felicidade, levando ó seu paso enfermidades alimenticias que poden rematar na morte O mesmo ocorre cós futbolistas, que se non estás en grandes equipos, ou se directamente o fútbol non é o teu, nunca serás nada na vida.","Ademáis da influencia que ten unha modelo ou un futbolista nos nenos, dando a entender que un corpo perfecto, e moitas veces, extremadamente delgado e pouco saudable, é o camiño cara o éxito e a felicidade, levando á súa vez enfermidades alimenticias que poden rematar na morte O mesmo ocorre cos futbolistas, que se non estás nun grande equipo, ou se directamente o fútbol non é o teu, nunca serás nada na vida.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre os verbos e a corrección de ""Ademáis"" a ""Ademáis da"", e a corrección de ""futbolista"" a ""futbolistas"" e ""fútbol"" a ""fútbol"" e ""cós"" a ""cos""."
"Outros problemas entre pais e fillos son menos importantes; o toque de queda, os amigos cos queda para saír ou as relacións amorosas.","Outros problemas entre pais e fillos son menos importantes; o toque de queda, os amigos con que queda para saír ou as relacións amorosas.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
O texto pon coma exemplo de conflitos entre pais e fillos unha discusión telefónica.,O texto pon como exemplo de conflitos entre pais e fillos unha discusión telefónica.,0,O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “coma” e “exemplo”.
"Moitos dirán que a fama é complicada xa que está exposta a vida de alguén a quen queira vela, pero máis difícil é ser profesor que son os encargados de formar ós próximos profesionais ou os médicos que teñen nas súas mans a responsabilidade de salvar unha vida ou un piloto de aviación que en cada viaxe ten nas súas mans as vidas de polo menos 200 persoas.","Moito dirá que a fame é complexa porque está exposta á vida de alguén que quere velo, mais máis difícil é ser profesor que son os responsables de formar aos futuros profesionais ou os médicos que teñen nas súas mans a responsabilidade de salvar unha vida ou un piloto de aviación que en cada voo ten nas súas mans as vidas de polo menos cen cincuenta persoas.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a errada utilización de “xa que” en lugar de “porque”."
Nos tempos antigos os fillos acataban todo tipo de normas dádalas por seus pais pero nos tempos que corren parece que os fillos son os que obrigan os pais.,Nos tempos antigos os fillos acataban todo tipo de normas dadas polos seus pais pero nos tempos que corren parecen que os fillos son os que obrigan aos pais.,1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Penso que tamén inflúen moitas veces nese deseo de carto rápido a nosa propia familia, que polo menos nalgúns casos, incitan aos seus fillos a xogar ao fútbol cunha presión innecesaria e llo transmiten aos seus fillos.","Penso que tamén inflúe moitas veces nesa desexo de carro rápido a nosa propia familia, que polo menos nalgúns casos, incítanos aos nosos fillos a xogar ao fútbol cunhas presións innecesarias e llas transmitimos.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre o suxeito e o verbo, e a falta de acentuación en palabras como “nosos” e “llas”."
"O problema da falta de comprensión entre ven xa de lonxe, pois, en xeral, a adolescencia é unha etapa da vida de calquera na que da comezo o proceso de madurar, mais, antes do fin do proceso, o adolescente considérase xa capaz de tomar as súas propias decisións, e non admite os razonamentos de ningún outro, o que provoca un choque cos seus pais, cos que, xeralmente está, obrigado a vivir, pois éstes seguen a ser responsables das decisións dos seus fillos, polo que, a menudo, os fan escoller a que consideran correcta.","O problema da falta de comprensión entre veña xa de lonxe, pois, en xeral, a adolescencia é unha etapa da vida de calquera na que comeza o proceso de maduración, mais, antes do seu final, o adolescente considera xa capaz de tomar as súas propias decisións, e non acepta os razoamentos de ninguén, o que provoca un choque cos seus pais, cos que, xeralmente, segue a estar obrigado a convivir, porque eles continúan sendo responsábeis das decisións dos seus fillos, polo que, con frecuencia, son estes quen teñen que elixir por el/ela.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Esta claro que a culpa a teñen os fillos, xa que nadie lles obriga a actuar así, pero os pais tamen teñen algo de culpa por exemplo un adolescente que non quere facer nada da súa vida, e o pai o único que fai e decirlle todo o malo que fai, iso non é correcto e lóxico, que lle vote a bronca pero tamen hai que motivalo pra que saque forzas de onde xa non lle quedan pra facer algo da sua vida xa sexa estudar o traballar.","Esta claro que a culpa a teñen os fillos, xa que ninguén lles obriga a actuar así, pero os pais tamén teñen algo de culpa, por exemplo, un adolescente que non queira facer nada na súa vida, e o pai o único que faga é dicirlle todo o mal que fai; iso non é correcto nin lóxico, que lle bote a bronca mais tamén hai que motivalo para que saque forzas de onde xa non lle quedan para facer algo da súa vida, xa sexa estudar ou traballar.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de concordancia entre os verbos e a adición de detalles para mellorar a claridade e a coherencia do texto."
"Opino que os problemas non se resolven nin peleando nin con castigos; os problemas entre pais e fillos arránxanse falando e dándolle a confianza ao teu fillo de contarte o que lle pasa, porque moitas veces esta rebeldía é a causa de outros problemas máis graves e posiblemente descoñecidos para os pais.","Opino que os problemas non se resolven nin peleando nin con castigos; os problemas entre pais e fillos arránxanse falando e dándolles aos teus fillos a confianza de contarte o que lles pasa, porque moitas veces esta rebeldía é a causa doutros problemas máis graves e quizais descoñecidos polos pais.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “dándolle” e “a confianza”, cambiando a forma de expresar a idea e facendo que o texto sexa máis claro e preciso."
"Normalmente, a ceda idade dos 15 - 16 anos, os fillos entran na coñecida idade ""do pavo"" na cal estes, atopan e descubren cosas novas na súa vida, as hormonas, etc. Xeralmente, a esta idade, os xóvenes teñen o sentimento de ninguén os entende, e moito menos os pais.","Normalmente, á ceda idade dos quince – dezaseis anos, os fillos entran na coñecida idade “do pavo” na que estes, encontran e descobren cousas novas na súa vida, as hormonas, etc. Xeralmente, nesta idade, os mozos teñen o sentimento de ninguén os entende, e moito menos os pais.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de acentos e a ortografía incorrecta, e mellorou a estrutura da oración."
"En conclusión, hai que actuar con sensatez e no primeiro mínimo contacto de violencia xa hai que facer algo e cortar desde o primer momento.","En conclusión, hai que actuar con sensatez e no primeiro mínimo contacto de violencia xa hai que facer algo e cortar desde o primer momento.",1,"A etiqueta 1 asígnase porque o output_corrector coincide co input_corrector, pero o corrector non resolveu o problema presente na entrada. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
Ou dunha pequena idea se consiga escribir un libro ou unha canción?,Ou dunha pequena idea se consegue escribir un libro ou unha canción?,1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Todas as preguntas que se nos fan no texto son inconte para nós, porque como di no último parágrafo, a cultura galega non está presente en ningún medio polo que non é culpa da mocidade en concreto, senón da globalización.","Todas as preguntas que se nos fan no texto son incontables para nós, porque como di no último parágrafo, a cultura galega non está presente en ningún medio polo que non é culpa da mocidade en concreto, senón da globalización.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Neste texto a autora fala de que gran parte da mocidade de hoxe en dia soña con ser futbolista ou modelo, e que ese feito é algo negativo para a sociedada.","Neste texto a autora fala de que gran parte da mocidade de hoxe en día soña con ser futbolista ou modelo, e que ese feito é algo negativo para a sociedade.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “hoxe en dia” e “sociedada”, que non era correcto gramaticalmente."
Cómo non van a querer os rapaces e rapazas ser futbolistas ou modelos se son estes os que aparecen non anuncios?,Cómo non van a querer os rapaces e rapazas ser futbolistas ou modelos se son eles os que aparecen nos anuncios?,0,O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “non” e “anuncios”.
"Para comezar, hoxe en día son máis os adolescentes, que teñen unha actitude tirana cos seus pais ou hainos que cren que todo lles saldra ben sen ter que facer nada.","Para comezar, hoxe en día son máis os adolescentes, que teñen unha actitude tirana cos seus pais ou hai quen cre que todo lles sairá ben sen ter que facer nada.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
Os pais utilizan o castigo como medio cando o seu fillo non se porta ben; isto non vai a axudar xa que o volverán a facer polo que o mellor método é unha charla onde expliques as repercusións que tendrán os seus feitos.,Os pais utilizan o castigo como medio cando o seu fillo non se porta ben; isto non vai a axudar xa que o volveran a facer polo que o mellor metodo é unha charla onde expliquesas repercusións que teran os seus feitos.,1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Tamén a cociña con Carlos Arguiñano, cociñeiro con moitas estrelas michelín; o que impulsa á xente a cociñar e aprender recetas novas, ou tamén inventalas eles.","Tamén a cociña con Carlos Arguiñano, cociñeiro con moitas estrelas Michelin; o que impulsa á xente a cociñar e aprender receitas novas, ou tamén inventalas elas.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"As comidas tradicionais sempre estaran ahí polo contrario, España é famosa pola tortilla de patacas, Francia polas ""crepes"" e Italia pola súa pasta.","As comidas tradicionais estarán aí polo contrario, España é famosa pola tortilla de patacas, Francia polas crepes e Italia pola súa pasta.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector, cambiando a forma verbal de “estaran” a “estarán” e corrixindo a falta de acento nos nomes de países."
"Outra causa importante para a popularidade da gastronomía foi o seu paso á televisión mediante programas e realitis shows, en ocasións programas onde se realiza alta cociña como Masterchef por exemplo.","Outra causa importante para a popularidade da gastronomía foi o seu paso á televisión mediante programas e realities shows, en ocasións programas onde se realiza alta cociña como MasterChef por exemplo.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"Cando dende sempre ir de compras supoñía ir a mercar algo que necesitas como os produtos básicos (comida, bebida...), agora ir de compras é un novo ""hobie"", os medios de comunicación fan que desexes e necesites ou creas necesitar algo e vas a compralo, ir de compras é divertido pero simplemente é consumismo.","Cando dende sempre ir de compras supoñía ir a mercar algo que precisas como os produtos básicos (comida, bebida...), agora ir de compras é un novo 'hobie', os medios de comunicación fan que desexes e precises ou creas precisar algo e vas a compralo, ir de compras é divertido mais sómente é consumismo.",0,O output_corrector é adecuado porque corrixiu o erro de pluralización de 'necesitas' a 'precisas' e 'creas necesitar' a 'creas precisar'.
A todos os rapaces da miña idade supoño que polo menos algunha vez discutimos cos nos pais.,A todos os rapaces da miña idade supoño que por algún motivo ou outro discutimos con eles.,1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"En conclusión eu creo que deberiamos ter máis paciencia e non enfadarnos sempre por calquera tontería e falar mellor as cousas por que cando hai comunicación as persoas entense mellor e tamén ter máis empatía cos nosos pais que xa teñen suficiente por que, ¿como sería unha vida sen pais?","En conclusión, eu creo que deberíamos ter máis paciencia e non enfadarnos sempre por calquera tontería e falar mellor as cousas por que, cando hai comunicación, as persoas entiénense mellor e tamén ter máis empatía cos nosos pais que xa teñen suficiente por que, como sería unha vida sen pais?",0,"O output_corrector é adecuado porque corrixiu os erros gramaticais e de ortografía presentes no input_corrector, mellorando a clareza e a corrección da oración."
"Fai aproximadamente dous anos, Mercedes Queixas publicou este artigo en ""Palavra Comum"" nel gorece o seu particular sentido de ver a sociedade actual, e chega a decir ""o feito de que a infancia e a mocidade soñe con ser futbolista ou modelo moi maioritariamente"" aludindo a despreocupación cultural actual.","Fai aproximadamente dous anos, Mercedes Queixas publicou este artigo en ""Palabra Común"" no que expón o seu particular sentido de ver a sociedade actual, e di que ""o feito de que a infancia e a mocidade soñen con ser futbolistas ou modelos maioritariamente"" alude á falta de interese pola cultura.",0,"O output_corrector é adecuado porque corrixiu os erros do input_corrector, como a falta de acento en ""Palabra Común"" e a corrección de ""gorece"" a ""expón"", e tamén a corrección de ""dispreocupación"" a ""falta de interese pola cultura""."
"En mi opinion, eu penso que estes comportamentos deben ser correxidos xa que poden chegar a destruír o futuro do adolescente, e a familia.","En miña opinión, penso que estes comportamentos deben ser corrixidos xa que poden chegar a destruír o futuro da persoa adolescente, e a súa familia.",1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"A persoa adolescente por unha serie de motivos vese, por así decilo, ""obrigada"" a través do seu instinto a exercer unha vida máis libre tendendo á desobediencia e desacordo cos pais na maioría de situacións.","A persoa adolescente por unha serie de motivos vese, por así dicilo, «obligada» a través do seu instinto a exercer unha vida máis libre tendendo á desobediência e desacordo cos pais na maioría de situacións.",0,"O output_corrector é adecuado porque corrixiu o erro do input_corrector, cambiando «por» por «por así dicilo» e colocando as comillas para indicar a cita."
Estes conflitos tamén levan a peleas no núcleo familiar.,Estes conflitos tamén levam a pelexas no núcleo familiar.,1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"É dicir, fixeron unha contribución real a humanidade.","É dicir, fixeron unha contribución real á humanidade.",0,O output_corrector é adecuado porque corrixiu o erro do input_corrector entre “a” e “humanidade”.
Os adolescentes hoxe en día son moito máis rebeldes que antes e pretenden ser demasiado independentes.,Os adolescentes hoxe en día son moito máis rebeldes ca antes e pretenden ser demasiado independentes.,1,"A etiqueta 1 asígnase porque o output_corrector non pode considerarse correcto xa que introduce un problema gramatical novo. Non foi posible extraer unha avaliación válida do modelo, polo que se aplica unha saída conservadora que require revisión manual."
"A miña pregunta é ¿Porque non ser médicos, arquitectos, dentistas...?","A miña pregunta é ¿Por que non ser médicos, arquitectos, dentistas... ?",0,"O output_corrector é adecuado porque corrixiu o erro de acentuación e a forma de preguntar, que era incorrecta."
