input_corrector,output_corrector,tag,explanation
"Por outro lado, tamén penso que nesta situación os pais de Vanesa non están pasando por un bo momento, e o pai neste caso, estao a pagar ca súa filla, como moitas veces pasa nas familias, que os fillos sen ter culpa, as pagan igualmente.","Por outro lado, tamén penso que nesta situación os pais de Vanessa non están pasando por un bo momento, e o pai neste caso, estao a pagar coa súa filla, coma moitas veces pasa nas familias, que os fillos sen ter culpa, as pagan igualmente.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a corrección de ""Vanesa"" a ""Vanessa"" e a corrección de ""ca"" a ""coa"" e ""coma"" a ""como""."
"Eu, como experiencia, podo contar que conocin unha rapaza que ca misma idade ca min, estaba tola da cabeza, quero dicir, a rapaza estaba tan desesperada porque súa nai a deixara en paz, que como os pais estaban divorciados, marchou co seu pai, e ainda por encima, denunciou a nai, polo que, cada vez penso que hai máis conflitos familiares.","Eu, como experiencia, podo contar que coñecín unha rapaza que coa mesma idade ca min, estaba tola da cabeza, quero dicir, a rapaza estaba tan desesperada porque a súa nai a deixaba en paz, que como os pais estaban divorciados, marchou co seu pai, e aínda por riba, denunciou á nai, polo que, cada vez penso que hai máis conflitos familiares.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a corrección de “conocin” a “coñecín” e a corrección de “súa nai a deixara” a “a súa nai a deixaba”."
"En definitiva, debemos saber tratar os adolescentes porque están nunha fase de cambio e as veces non son eles propiamente pero débese diferenciar o que se pode permitir e o que non e dónde se deben poñer unhas normas.","En definitiva, debemos saber tratar os adolescentes porque están nunha fase de cambio e ás veces non son eles propiamente senón que hai que diferenciarse do que se pode permitir e do que non é onde se deben pór unhas normas.",1,O output_corrector non é adecuado porque introduciu un erro entre “senón” e “que” e tamén entre “non é” e “onde”.
"Primeiramente, non é xusto valorar o estado da sociedade tendo en conta o que as persoas soñan na súa infancia.","Primeiro, non é xusto valorar o estado da sociedade tendo en conta o que as persoas soñan na súa infancia.",0,"O output_corrector é adecuado porque non se modificou o input_corrector, o cal non contiña ningún erro que corrixir."
A autora deste fragmento critica que a mocidade e a infancia soña con ser futbolista ou modelo maioritariamente e penso que ten toda a razón do mundo.,A autora deste fragmento crítica que a mocidade e a infancia soñan con ser futbolista ou modelo maioritariamente e penso que ten toda a razón do mundo.,0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “critica” e “soña”, cambiando a forma verbal para unha forma correcta."
"Ademáis da influencia que ten unha modelo ou un futbolista nos nenos, dando a entender que un corpo perfecto, e moitas veces, extremadamente delgado e pouco saudable, é o camiño cara o éxito e a felicidade, levando ó seu paso enfermidades alimenticias que poden rematar na morte O mesmo ocorre cós futbolistas, que se non estás en grandes equipos, ou se directamente o fútbol non é o teu, nunca serás nada na vida.","Ademáis da influencia que ten unha modelo ou un futbolista nos nenos, dando a entender que un corpo perfecto, e moitas veces, extremadamente delgado e pouco saudable, é o camiño cara o éxito e a felicidade, levando á súa vez enfermidades alimenticias que poden rematar na morte O mesmo ocorre cos futbolistas, que se non estás nun grande equipo, ou se directamente o fútbol non é o teu, nunca serás nada na vida.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “cós” e “futbolistas” e entre “en grandes equipos” e “nun grande equipo”.
"Outros problemas entre pais e fillos son menos importantes; o toque de queda, os amigos cos queda para saír ou as relacións amorosas.","Outros problemas entre pais e fillos son menos importantes; o toque de queda, os amigos con que queda para saír ou as relacións amorosas.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “cos” e “queda”.
O texto pon coma exemplo de conflitos entre pais e fillos unha discusión telefónica.,O texto pon como exemplo de conflitos entre pais e fillos unha discusión telefónica.,0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “coma” e “como”.
"Moitos dirán que a fama é complicada xa que está exposta a vida de alguén a quen queira vela, pero máis difícil é ser profesor que son os encargados de formar ós próximos profesionais ou os médicos que teñen nas súas mans a responsabilidade de salvar unha vida ou un piloto de aviación que en cada viaxe ten nas súas mans as vidas de polo menos 200 persoas.","Moito dirá que a fame é complexa porque está exposta á vida de alguén que quere velo, mais máis difícil é ser profesor que son os responsables de formar aos futuros profesionais ou os médicos que teñen nas súas mans a responsabilidade de salvar unha vida ou un piloto de aviación que en cada voo ten nas súas mans as vidas de polo menos cen cincuenta persoas.",1,"O output_corrector non é adecuado porque introduciu varios erros, como a falta de concordancia entre ""Moito"" e ""dirá"", a confusión entre ""fama"" e ""fame"", e a incorrección en ""cen cincuenta"" en lugar de ""200"". Estes erros non existían no input_corrector."
Nos tempos antigos os fillos acataban todo tipo de normas dádalas por seus pais pero nos tempos que corren parece que os fillos son os que obrigan os pais.,Nos tempos antigos os fillos acataban todo tipo de normas dadas polos seus pais pero nos tempos que corren parecen que os fillos son os que obrigan aos pais.,0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de concordancia entre os verbos e a corrección de ""dádalas"" a ""dadas""."
"Penso que tamén inflúen moitas veces nese deseo de carto rápido a nosa propia familia, que polo menos nalgúns casos, incitan aos seus fillos a xogar ao fútbol cunha presión innecesaria e llo transmiten aos seus fillos.","Penso que tamén inflúe moitas veces nesa desexo de carro rápido a nosa propia familia, que polo menos nalgúns casos, incítanos aos nosos fillos a xogar ao fútbol cunhas presións innecesarias e llas transmitimos.",1,"O output_corrector non é adecuado porque o corrector introduciu erros, como a falta de concordancia entre o suxeito e o verbo, e a incorrecta utilización de ""llas"" en lugar de ""llo""."
"O problema da falta de comprensión entre ven xa de lonxe, pois, en xeral, a adolescencia é unha etapa da vida de calquera na que da comezo o proceso de madurar, mais, antes do fin do proceso, o adolescente considérase xa capaz de tomar as súas propias decisións, e non admite os razonamentos de ningún outro, o que provoca un choque cos seus pais, cos que, xeralmente está, obrigado a vivir, pois éstes seguen a ser responsables das decisións dos seus fillos, polo que, a menudo, os fan escoller a que consideran correcta.","O problema da falta de comprensión entre veña xa de lonxe, pois, en xeral, a adolescencia é unha etapa da vida de calquera na que comeza o proceso de maduración, mais, antes do seu final, o adolescente considera xa capaz de tomar as súas propias decisións, e non acepta os razoamentos de ninguén, o que provoca un choque cos seus pais, cos que, xeralmente, segue a estar obrigado a convivir, porque eles continúan sendo responsábeis das decisións dos seus fillos, polo que, con frecuencia, son estes quen teñen que elixir por el/ela.",1,"A resposta foi corrixida para mellorar a gramática, a sintaxe e a claridade, e para reflectir unha linguaxe máis formal e precisa."
"Esta claro que a culpa a teñen os fillos, xa que nadie lles obriga a actuar así, pero os pais tamen teñen algo de culpa por exemplo un adolescente que non quere facer nada da súa vida, e o pai o único que fai e decirlle todo o malo que fai, iso non é correcto e lóxico, que lle vote a bronca pero tamen hai que motivalo pra que saque forzas de onde xa non lle quedan pra facer algo da sua vida xa sexa estudar o traballar.","Esta claro que a culpa a teñen os fillos, xa que ninguén lles obriga a actuar así, pero os pais tamén teñen algo de culpa, por exemplo, un adolescente que non queira facer nada na súa vida, e o pai o único que faga é dicirlle todo o mal que fai; iso non é correcto nin lóxico, que lle bote a bronca mais tamén hai que motivalo para que saque forzas de onde xa non lle quedan para facer algo da súa vida, xa sexa estudar ou traballar.",0,"O output_corrector é adecuado porque solucionou os erros de concordancia e gramática presentes no input_corrector, mellorando a clareza e a corrección da or"
"Opino que os problemas non se resolven nin peleando nin con castigos; os problemas entre pais e fillos arránxanse falando e dándolle a confianza ao teu fillo de contarte o que lle pasa, porque moitas veces esta rebeldía é a causa de outros problemas máis graves e posiblemente descoñecidos para os pais.","Opino que os problemas non se resolven nin peleando nin con castigos; os problemas entre pais e fillos arránxanse falando e dándolles aos teus fillos a confianza de contarte o que lles pasa, porque moitas veces esta rebeldía é a causa doutros problemas máis graves e quizais descoñecidos polos pais.",0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “dándolle” e “aos teus fillos”, e tamén corrixu o erro de concordancia entre “descoñecidos” e “polos pais”."
"Normalmente, a ceda idade dos 15 - 16 anos, os fillos entran na coñecida idade ""do pavo"" na cal estes, atopan e descubren cosas novas na súa vida, as hormonas, etc. Xeralmente, a esta idade, os xóvenes teñen o sentimento de ninguén os entende, e moito menos os pais.","Normalmente, á ceda idade dos quince – dezaseis anos, os fillos entran na coñecida idade “do pavo” na que estes, encontran e descobren cousas novas na súa vida, as hormonas, etc. Xeralmente, nesta idade, os mozos teñen o sentimento de ninguén os entende, e moito menos os pais.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de acentuación e a corrección de verbos."
"En conclusión, hai que actuar con sensatez e no primeiro mínimo contacto de violencia xa hai que facer algo e cortar desde o primer momento.","En conclusión, hai que actuar con sensatez e no primeiro mínimo contacto de violencia xa hai que facer algo e cortar desde o primer momento.",0,"O output_corrector é adecuado xa que non se modificou o input_corrector, o cal non contiña ningún erro que corrixir."
Ou dunha pequena idea se consiga escribir un libro ou unha canción?,Ou dunha pequena idea se consegue escribir un libro ou unha canción?,0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “consiga” e “consegue”.
"Todas as preguntas que se nos fan no texto son inconte para nós, porque como di no último parágrafo, a cultura galega non está presente en ningún medio polo que non é culpa da mocidade en concreto, senón da globalización.","Todas as preguntas que se nos fan no texto son incontables para nós, porque como di no último parágrafo, a cultura galega non está presente en ningún medio polo que non é culpa da mocidade en concreto, senón da globalización.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “inconte” e “incontables”.
"Neste texto a autora fala de que gran parte da mocidade de hoxe en dia soña con ser futbolista ou modelo, e que ese feito é algo negativo para a sociedada.","Neste texto a autora fala de que gran parte da mocidade de hoxe en día soña con ser futbolista ou modelo, e que ese feito é algo negativo para a sociedade.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “sociedada” e “sociedade”.
Cómo non van a querer os rapaces e rapazas ser futbolistas ou modelos se son estes os que aparecen non anuncios?,Cómo non van a querer os rapaces e rapazas ser futbolistas ou modelos se son eles os que aparecen nos anuncios?,0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “estes” e “anuncios”.
"Para comezar, hoxe en día son máis os adolescentes, que teñen unha actitude tirana cos seus pais ou hainos que cren que todo lles saldra ben sen ter que facer nada.","Para comezar, hoxe en día son máis os adolescentes, que teñen unha actitude tirana cos seus pais ou hai quen cre que todo lles sairá ben sen ter que facer nada.",1,"O output_corrector non é adecuado porque introduciu un erro entre “hainos” e “cren” e tamén entre “sairá” e “sen”, que non existían no input_corrector."
Os pais utilizan o castigo como medio cando o seu fillo non se porta ben; isto non vai a axudar xa que o volverán a facer polo que o mellor método é unha charla onde expliques as repercusións que tendrán os seus feitos.,Os pais utilizan o castigo como medio cando o seu fillo non se porta ben; isto non vai a axudar xa que o volveran a facer polo que o mellor metodo é unha charla onde expliquesas repercusións que teran os seus feitos.,1,"O output_corrector non é adecuado porque o corrector introduciu un erro entre “volverán” e “volveran”, e tamén entre “mellor método” e “mellor metodo”, e “expliques” e “expliquesas”, e “repercusións” e “repercusións que teran”."
"Tamén a cociña con Carlos Arguiñano, cociñeiro con moitas estrelas michelín; o que impulsa á xente a cociñar e aprender recetas novas, ou tamén inventalas eles.","Tamén a cociña con Carlos Arguiñano, cociñeiro con moitas estrelas Michelin; o que impulsa á xente a cociñar e aprender receitas novas, ou tamén inventalas elas.",0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “michelín” e “Michelin” e entre “recetas” e “receitas”, así como entre “eles” e “elas”."
"As comidas tradicionais sempre estaran ahí polo contrario, España é famosa pola tortilla de patacas, Francia polas ""crepes"" e Italia pola súa pasta.","As comidas tradicionais estarán aí polo contrario, España é famosa pola tortilla de patacas, Francia polas crepes e Italia pola súa pasta.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “sempre estaran” e “estarán”.
"Outra causa importante para a popularidade da gastronomía foi o seu paso á televisión mediante programas e realitis shows, en ocasións programas onde se realiza alta cociña como Masterchef por exemplo.","Outra causa importante para a popularidade da gastronomía foi o seu paso á televisión mediante programas e realities shows, en ocasións programas onde se realiza alta cociña como MasterChef por exemplo.",0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “realitis” e “shows”, corrixindo a ortografía e a gramática."
"Cando dende sempre ir de compras supoñía ir a mercar algo que necesitas como os produtos básicos (comida, bebida...), agora ir de compras é un novo ""hobie"", os medios de comunicación fan que desexes e necesites ou creas necesitar algo e vas a compralo, ir de compras é divertido pero simplemente é consumismo.","Cando dende sempre ir de compras supoñía ir a mercar algo que precisas como os produtos básicos (comida, bebida...), agora ir de compras é un novo 'hobie', os medios de comunicación fan que desexes e precises ou creas precisar algo e vas a compralo, ir de compras é divertido mais sómente é consumismo.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “necesitas” e “precisas”.
A todos os rapaces da miña idade supoño que polo menos algunha vez discutimos cos nos pais.,A todos os rapaces da miña idade supoño que por algún motivo ou outro discutimos con eles.,0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “cos” e “nos”, corrixindo a expresión para facela máis clara e gramaticalmente correcta."
"En conclusión eu creo que deberiamos ter máis paciencia e non enfadarnos sempre por calquera tontería e falar mellor as cousas por que cando hai comunicación as persoas entense mellor e tamén ter máis empatía cos nosos pais que xa teñen suficiente por que, ¿como sería unha vida sen pais?","En conclusión, eu creo que deberíamos ter máis paciencia e non enfadarnos sempre por calquera tontería e falar mellor as cousas por que, cando hai comunicación, as persoas entiénense mellor e tamén ter máis empatía cos nosos pais que xa teñen suficiente por que, como sería unha vida sen pais?",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “eu” e “creo” e tamén corrixiu a forma verbal de “entense” a “entiénense”.
"Fai aproximadamente dous anos, Mercedes Queixas publicou este artigo en ""Palavra Comum"" nel gorece o seu particular sentido de ver a sociedade actual, e chega a decir ""o feito de que a infancia e a mocidade soñe con ser futbolista ou modelo moi maioritariamente"" aludindo a despreocupación cultural actual.","Fai aproximadamente dous anos, Mercedes Queixas publicou este artigo en ""Palabra Común"" no que expón o seu particular sentido de ver a sociedade actual, e di que ""o feito de que a infancia e a mocidade soñen con ser futbolistas ou modelos maioritariamente"" alude á falta de interese pola cultura.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a corrección de ""Palavra Comum"" a ""Palabra Común"" e a corrección de ""gorece"" a ""expón"", e tamén a corrección de ""dixir"" a ""di"" e a corrección de ""soñe"" a ""soñen"" e ""moi maioritariamente"" a ""maioritariamente""."
"En mi opinion, eu penso que estes comportamentos deben ser correxidos xa que poden chegar a destruír o futuro do adolescente, e a familia.","En miña opinión, penso que estes comportamentos deben ser corrixidos xa que poden chegar a destruír o futuro da persoa adolescente, e a súa familia.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de acentuación e a corrección de ""correxidos"" a ""corrixidos""."
"A persoa adolescente por unha serie de motivos vese, por así decilo, ""obrigada"" a través do seu instinto a exercer unha vida máis libre tendendo á desobediencia e desacordo cos pais na maioría de situacións.","A persoa adolescente por unha serie de motivos vese, por así dicilo, «obligada» a través do seu instinto a exercer unha vida máis libre tendendo á desobediência e desacordo cos pais na maioría de situacións.",0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “obrigada” e “por así decilo”, cambiando a comillas por acentos graves."
Estes conflitos tamén levan a peleas no núcleo familiar.,Estes conflitos tamén levam a pelexas no núcleo familiar.,0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “levan” e “peleas”.
"É dicir, fixeron unha contribución real a humanidade.","É dicir, fixeron unha contribución real á humanidade.",0,O output_corrector é adecuado porque solucionou o erro do input_corrector entre “a” e “humanidade”.
Os adolescentes hoxe en día son moito máis rebeldes que antes e pretenden ser demasiado independentes.,Os adolescentes hoxe en día son moito máis rebeldes ca antes e pretenden ser demasiado independentes.,0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “que” e “ca”, corrixindo a comparación."
"A miña pregunta é ¿Porque non ser médicos, arquitectos, dentistas...?","A miña pregunta é ¿Por que non ser médicos, arquitectos, dentistas... ?",1,"O output_corrector non é adecuado porque non se corrixeron os erros do input_corrector, como a falta de acento en “Por que” e a falta de puntuación final."
"Tamén é certo que no caso de Don Mariano, contesta de mala maneira e con malas palabras, e non é a forma máis axeitada de dirixirse a unha filla que, ao mellor, non se percatou do problema que lle supuxo ao seu pai atender esa chamada, o que agravaría aínda máis o problema.","Tamén é certo que no caso de Don Mariano, contesta de mala maneira e con malas palabras, e non é a forma máis axeitada de dirixirse a unha filla que, ao mellor, non se percatara do problema que lle supuso ao seu pai atender esa chamada, o que agravaría aínda máis o problema.",0,"O output_corrector é adecuado porque solucionou o erro do input_corrector entre “percatou” e “percatara”, corrixindo a concordancia verbal."
"Non todo o mundo pode chegar a xogar nunha Liga profesional porque é imposibel igual que o de ser modelo, para iso necesitase pasar unha serie de probas e ter un bó estado físico e moitas persoas que intentasen obter estos resultados non o conseguirian porque é un esforzo moi grande.","Non todo o mundo pode chegar a xogar nunha liga profesional porque é imposible como o de ser modelo, para iso hai que superar unha serie de probas e estar en bo estado físico e moitas persoas que intentaran conseguir estes resultados non o conseguiran porque é un esforzo demasiado grande.",0,"O output_corrector é adecuado porque solucionou os erros do input_corrector, como a falta de concordancia entre ""imposibel"" e ""necesitase"" e a corrección de ""bó"" a ""bo"", así como a corrección de ""moi grande"" a ""demasiado grande""."
"Neste caso dedúcese que o que pasa é que a filla de Don Mariano quere ir de compras e a nai non lle deixa, polo que chama ó seu pai para intentar convencelo.","Neste caso dedúcese que o que pasa é que a filla de Don Mariano quere ir de compras e a súa nai non lle deixa, polo que chama á súa avoa para tentar convencela.",1,"O output_corrector non é adecuado porque introduciu un erro ao substituír ""pai"" por ""avoa"", que non é o termo correcto no contexto."
"Eu creo que cando somos nenos deberíamos obter unha boa educación por parte dos nosos pais privandonos de certos obxetos, aínda que choremos porque non o repetiremos nun futuro porque sabemos que non funciona.","Eu creo que cando somos nenos debemos recibir unha boa educación por parte dos nosos pais privándonos de certos obxectos, aínda que choraramos porque non o repetirémos nun futuro porque sabemos que non funciona.",1,"O output_corrector non é adecuado porque o corrector introduciu un erro entre “deberíamos” e “debemos”, e tamén entre “choramos” e “choraramos”, que non existían no input_corrector."
